,word1,word2,pred_sl,pred_sd,act_sl,act_sd,pred_act_gap
0,长,狭窄,0.67,0.49,0.27,0.32,0.4
1,内疚,羞愧,5.0,0.0,4.36,1.34,0.6399999999999997
2,暴力,被动,0.2,0.41,0.0,0.0,0.2
3,闷,平庸,1.8,0.41,0.91,1.14,0.89
4,害羞,昂贵,0.0,0.0,0.0,0.0,0.0
5,不同,正常,0.93,0.26,0.0,0.0,0.93
6,自豪,傲慢,3.0,0.38,2.91,1.56,0.08999999999999986
7,愉快,快乐,5.93,0.26,4.91,1.03,1.0199999999999996
8,粗糙,无礼,2.07,0.46,0.45,0.85,1.6199999999999999
9,坚硬,密度大,2.93,0.46,2.55,2.04,0.38000000000000034
10,无实体,心灵,1.4,0.63,2.64,1.95,-1.2400000000000002
11,开心,高兴,6.0,0.0,5.55,0.53,0.4500000000000002
12,开心,疯狂,1.67,0.49,0.91,1.49,0.7599999999999999
13,合法,允许,4.13,0.35,2.55,1.26,1.58
14,和蔼,残酷,0.0,0.0,0.0,0.0,0.0
15,胆大,自豪,1.53,0.52,0.73,1.07,0.8
16,坏,平庸,1.67,0.49,0.09,0.32,1.5799999999999998
17,煮熟的,水煮,4.93,0.26,2.55,1.65,2.38
18,残忍,不公平,3.0,0.38,0.45,0.67,2.55
19,不需要,必须,0.0,0.0,0.18,0.63,-0.18
20,沈闷,枯燥,5.0,0.38,3.91,2.0,1.0899999999999999
21,自由,无辜,1.0,0.38,0.09,0.32,0.91
22,善良,大方,3.27,0.46,2.0,1.52,1.27
23,弱,辣,0.0,0.0,0.0,0.0,0.0
24,兴奋,受惊,2.2,0.56,0.55,1.58,1.6500000000000001
25,无知,频繁,0.0,0.0,0.09,0.32,-0.09
26,怪诞,奇怪,4.47,0.52,4.64,1.08,-0.16999999999999993
27,人造,假,4.33,0.62,3.0,1.2,1.33
28,电动,甜,0.0,0.0,0.0,0.0,0.0
29,婚外,不可說出口的,3.07,0.46,1.73,2.1,1.3399999999999999
30,笨,傻,5.0,0.0,5.27,0.67,-0.2699999999999996
31,个人,私人,5.0,0.53,4.27,1.07,0.7300000000000004
32,瘦,苗条,5.0,0.0,4.45,1.35,0.5499999999999998
33,奇怪,古怪,5.67,0.49,5.45,0.53,0.21999999999999975
34,灵活,松动,2.07,0.26,1.82,1.37,0.24999999999999978
35,强大,强大,6.0,0.0,4.36,0.7,1.6399999999999997
36,大,柔韧,0.4,0.51,0.27,0.67,0.13
37,脆弱,简单,1.2,0.41,0.18,0.63,1.02
38,粘人,缺乏信心,2.0,0.53,0.09,0.32,1.91
39,显著的,明显,5.27,0.46,4.18,2.21,1.0899999999999999
40,暴力,柔软,0.0,0.0,0.0,0.0,0.0
41,害怕,急,1.67,0.49,0.18,0.42,1.49
42,非法,不道德,3.93,0.26,2.18,1.23,1.75
43,严酷,残酷,5.07,0.26,4.27,1.49,0.8000000000000007
44,粗糙,丑陋,2.8,0.56,0.45,0.97,2.3499999999999996
45,难以置信,普通,0.2,0.41,0.0,0.0,0.2
46,尖,平滑,0.0,0.0,0.18,0.63,-0.18
47,容易,灵活,1.93,0.59,0.45,0.85,1.48
48,满载,沉重,1.4,0.51,0.73,0.97,0.6699999999999999
49,轻松,强调,0.0,0.0,0.0,0.0,0.0
50,中性,未拿定主意,1.47,0.52,0.64,1.49,0.83
51,闻名,国民,1.33,0.49,0.0,0.0,1.33
52,乱,清洁,0.0,0.0,0.09,0.0,-0.09
53,新,新鲜,4.87,0.35,4.0,0.95,0.8700000000000001
54,孩子气,傻,2.73,0.46,2.91,1.33,-0.18000000000000016
55,愉快,精彩,3.13,0.64,2.55,1.27,0.5800000000000001
56,旧,杂,0.93,0.26,0.0,0.0,0.93
57,羞耻,心烦,1.93,0.46,0.27,0.67,1.66
58,普通,冷,0.67,0.49,0.0,0.0,0.67
59,生病,疯,2.13,0.52,0.91,2.0,1.2199999999999998
60,每月,每周,3.53,0.52,1.64,1.26,1.89
61,仁慈地,温和地,4.8,0.41,3.36,1.71,1.44
62,不同的,奇怪地,1.67,0.49,0.36,0.7,1.31
63,和平地,混乱,0.0,0.0,0.0,0.0,0.0
64,好心地,仁慈地,5.8,0.41,4.64,1.07,1.1600000000000001
65,显然,不显眼地,0.0,0.0,0.36,0.84,-0.36
66,大声地,微妙地,0.0,0.0,0.0,0.0,0.0
67,异常,奇怪地,4.53,0.64,3.73,1.58,0.8000000000000003
68,谨慎地,有礼貌地,3.6,0.51,0.64,0.95,2.96
69,异常地,一般,1.07,0.46,0.0,0.0,1.07
70,在家里,在别处,1.4,0.74,0.36,0.84,1.04
71,理想地,实际地,0.67,0.62,0.18,0.42,0.49000000000000005
72,通常,日常,4.6,0.51,3.18,1.62,1.4199999999999995
73,准确地,积极地,1.0,0.0,0.64,1.06,0.36
74,今天晚上,今天,4.2,0.56,2.36,1.51,1.8400000000000003
75,两次,总是,1.07,0.26,0.0,0.0,1.07
76,最近,现实地,1.8,0.41,0.0,0.0,1.8
77,粗糙地,大致,3.93,0.59,0.91,1.56,3.02
78,死气沉沉的,高高兴兴地,0.0,0.0,0.36,0.84,-0.36
79,稍微地,大致,3.4,0.51,2.0,1.45,1.4
80,大致地,容易地,1.33,0.49,0.0,0.0,1.33
81,准确地,精确地,6.0,0.0,5.45,0.84,0.5499999999999998
82,两次,多,1.47,0.52,0.18,0.63,1.29
83,紧紧地,难以置信地,0.8,0.41,0.0,0.0,0.8
84,有时,每当,2.27,0.46,0.55,1.35,1.72
85,极其,非常,5.6,0.51,4.55,1.58,1.0499999999999998
86,看来,显然,3.33,0.62,1.91,1.7,1.4200000000000002
