,word1,word2,similarity_score_1,similarity_score_2,similarity_score_3,similarity_score_4,similarity_score_5,similarity_score_6,similarity_score_7,similarity_score_8,similarity_score_9,similarity_score_10,similarity_score_11,similarity_score_12,similarity_score_13,similarity_score_14,similarity_score_15
0,长,狭窄,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1
1,内疚,羞愧,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,暴力,被动,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
3,闷,平庸,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2
4,害羞,昂贵,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,不同,正常,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
6,自豪,傲慢,3,3,3,3,3,3,3,2,3,3,3,3,3,3,4
7,愉快,快乐,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6
8,粗糙,无礼,2,2,2,2,2,2,2,2,2,2,1,2,3,2,3
9,坚硬,密度大,3,3,3,3,3,3,3,3,3,3,2,3,4,3,2
10,无实体,心灵,0,2,2,2,2,1,1,2,1,2,1,2,1,1,1
11,开心,高兴,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
12,开心,疯狂,1,1,2,2,2,2,1,1,2,2,1,2,2,2,2
13,合法,允许,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4
14,和蔼,残酷,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,胆大,自豪,1,2,1,1,1,1,2,1,2,2,2,1,2,2,2
16,坏,平庸,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1
17,煮熟的,水煮,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5
18,残忍,不公平,3,3,3,3,3,4,3,3,3,3,3,3,3,2,3
19,不需要,必须,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,沈闷,枯燥,5,5,4,5,6,5,5,5,5,5,5,5,5,5,5
21,自由,无辜,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1
22,善良,大方,3,3,3,4,4,3,3,3,3,3,3,3,4,3,4
23,弱,辣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,兴奋,受惊,2,2,3,2,2,2,3,3,2,3,2,2,2,2,1
25,无知,频繁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,怪诞,奇怪,5,5,5,4,4,5,4,5,4,4,4,4,5,4,5
27,人造,假,4,4,4,5,4,4,5,4,5,5,5,4,4,5,3
28,电动,甜,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,婚外,不可說出口的,3,4,3,3,3,3,3,4,3,3,3,3,3,3,2
30,笨,傻,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
31,个人,私人,5,6,5,5,5,5,5,5,4,6,5,5,5,5,4
32,瘦,苗条,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
33,奇怪,古怪,6,5,6,5,5,6,6,6,6,5,6,6,6,5,6
34,灵活,松动,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2
35,强大,强大,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
36,大,柔韧,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0
37,脆弱,简单,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1
38,粘人,缺乏信心,2,3,2,2,2,2,3,2,2,2,1,2,2,2,1
39,显著的,明显,6,5,6,5,5,5,5,5,5,5,6,5,6,5,5
40,暴力,柔软,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,害怕,急,2,2,2,2,1,2,2,2,1,2,1,2,1,1,2
42,非法,不道德,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4
43,严酷,残酷,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5
44,粗糙,丑陋,2,3,3,2,3,3,3,3,4,3,3,3,2,2,3
45,难以置信,普通,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
46,尖,平滑,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,容易,灵活,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1
48,满载,沉重,1,2,1,1,1,2,1,1,1,2,1,1,2,2,2
49,轻松,强调,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,中性,未拿定主意,1,1,2,2,2,1,2,2,1,1,1,2,1,1,2
51,闻名,国民,1,1,2,1,1,1,1,1,2,2,2,1,1,2,1
52,乱,清洁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,新,新鲜,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5
54,孩子气,傻,2,2,3,3,2,3,3,3,3,3,3,3,3,3,2
55,愉快,精彩,3,3,3,4,3,3,2,4,3,3,2,4,3,4,3
56,旧,杂,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
57,羞耻,心烦,2,2,2,2,1,1,3,2,2,2,2,2,2,2,2
58,普通,冷,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0
59,生病,疯,2,2,3,3,2,2,2,3,2,2,2,2,2,2,1
60,每月,每周,4,4,4,3,3,4,3,4,4,4,3,3,4,3,3
61,仁慈地,温和地,5,5,5,5,4,4,5,5,5,5,4,5,5,5,5
62,不同的,奇怪地,1,1,2,2,1,2,2,2,1,2,2,2,2,2,1
63,和平地,混乱,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,好心地,仁慈地,6,6,6,6,5,5,6,6,6,6,5,6,6,6,6
65,显然,不显眼地,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,大声地,微妙地,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,异常,奇怪地,4,5,5,5,5,5,4,5,5,4,3,4,5,4,5
68,谨慎地,有礼貌地,3,4,4,4,4,3,3,4,4,4,3,4,4,3,3
69,异常地,一般,1,1,1,1,1,1,1,1,1,1,0,2,1,2,1
70,在家里,在别处,1,2,1,3,1,1,1,2,0,2,1,1,2,2,1
71,理想地,实际地,2,1,1,1,0,0,0,0,1,1,0,0,1,1,1
72,通常,日常,5,5,4,4,5,5,4,5,4,4,5,5,5,4,5
73,准确地,积极地,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,今天晚上,今天,4,4,5,5,4,4,4,4,5,3,5,4,4,4,4
75,两次,总是,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
76,最近,现实地,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2
77,粗糙地,大致,4,4,5,4,4,3,3,4,4,3,4,4,4,4,5
78,死气沉沉的,高高兴兴地,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,稍微地,大致,4,3,4,4,4,3,3,3,3,3,3,4,3,3,4
80,大致地,容易地,1,1,2,2,1,1,1,1,1,1,2,2,1,1,2
81,准确地,精确地,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
82,两次,多,1,1,2,1,2,1,1,2,2,2,2,1,1,1,2
83,紧紧地,难以置信地,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1
84,有时,每当,2,3,3,2,2,2,2,2,2,2,2,3,2,2,3
85,极其,非常,5,6,6,6,6,5,5,6,5,5,6,6,6,5,6
86,看来,显然,3,4,4,3,3,3,4,4,2,3,3,4,4,3,3
87,紧张地,焦急地,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
88,通常,很少地,1,1,2,1,1,1,1,2,1,1,1,1,2,2,1
89,有意义地,特别,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
90,重要地,真实地,2,3,3,3,3,3,3,3,2,3,2,3,3,3,3
91,自豪的,谦逊地,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,香芹,松饼,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,女儿,孩子,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
94,闪电攻击,攻击,4,5,4,4,4,4,5,4,5,4,4,5,5,4,4
95,战斗,好斗,3,4,3,4,3,4,4,3,4,4,3,4,4,4,3
96,作曲家,作家,3,2,2,2,3,1,2,2,2,2,2,2,2,2,3
97,主机板,主板,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5
98,船,车,2,2,2,3,2,2,2,3,2,2,1,2,3,2,2
99,无穷,零,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
100,床,家俱,4,4,4,3,5,3,3,4,3,4,4,3,4,4,4
101,诗,韵律,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3
102,肚子,卧室,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,岩浆,火山,4,4,5,5,4,4,4,5,4,5,5,4,5,4,5
104,碗,尾巴,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,奖学金,学费,3,2,4,3,3,3,3,3,3,4,3,4,5,2,4
106,政治家,总统,4,4,5,4,4,4,4,4,4,4,4,5,4,5,5
107,泡,肥皂泡沫,5,5,4,4,5,5,5,5,5,5,3,4,5,3,5
108,节奏,旋律,4,5,4,4,4,4,4,4,4,5,4,3,4,4,3
109,校园,大学,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
110,锡,金属,5,5,5,5,4,5,5,5,5,6,6,5,5,4,5
111,草,刀口,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,多面体,演员,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,日期,日历,5,5,4,5,5,4,4,5,5,5,5,5,5,5,5
114,门,走廊,3,2,2,2,3,2,3,2,2,3,3,3,3,3,3
115,皇帝,宪法,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1
116,丰富,许多,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3
117,原木,沐浴,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,雨,薄雾,3,2,3,2,3,2,2,3,3,3,3,3,3,3,3
119,苹果,柠檬,3,3,3,3,4,3,4,4,4,4,4,3,4,3,4
120,幸福,悲伤,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0
121,走道,大厅,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
122,红酒,酒,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5
123,导演,摄影,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
124,老鹰,猎鹰,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
125,周末,种族,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,书,圣经,4,4,3,3,4,4,4,4,3,4,4,3,4,4,4
127,财富,名誉,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3
128,尾巴,后部,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
129,手臂,骨头,3,3,2,2,2,2,3,3,3,3,2,3,3,3,2
130,海滩,暗礁,2,2,2,2,2,3,3,3,2,2,2,2,2,2,3
131,过道,走廊,6,6,6,5,5,6,5,5,6,6,5,5,5,5,5
132,薄荷,博物馆,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,游戏,乐趣,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
134,枪,大炮,3,3,4,3,3,3,3,4,3,3,4,3,4,3,3
135,深度,大小,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
136,作者,创造者,5,5,5,4,4,5,5,5,4,5,5,5,5,5,5
137,合金,钢,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4
138,威士忌酒,杜松子酒,3,4,4,3,4,4,4,4,4,4,4,4,4,3,4
139,罐,瓶子,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
140,报纸,资料,2,2,2,3,2,3,3,3,2,3,3,3,3,3,2
