,word1,word2,avg_pred_sl,avg_act_sl,avg_pred_act_gap
463,收到,接受,5.53,0.91,4.62
194,荣誉,敬重,4.71,0.64,4.07
176,小说,作家,4.14,0.09,4.05
177,病人,复诊,4.24,0.36,3.88
374,记得,想,4.22,0.36,3.86
213,恶意软件,蠕虫,4.77,0.91,3.86
245,蜜蜂,蚂蚁,4.22,0.45,3.77
164,牛,山羊,4.18,0.45,3.73
165,血液,骨髓,4,0.36,3.64
446,装作,似乎,3.89,0.27,3.62
441,安排,组织,4.43,0.82,3.61
133,游戏,乐趣,3.96,0.45,3.51
101,诗,韵律,3.86,0.36,3.5
236,手臂,脖子,3.6,0.18,3.42
255,证明,事实,4.14,0.82,3.32
119,苹果,柠檬,3.47,0.18,3.29
369,创建,做,4.09,0.82,3.27
436,成长,增加,4.16,0.91,3.25
182,滑雪板,滑雪,4.68,1.45,3.23
207,商业,工业,4.11,0.91,3.2
103,岩浆,火山,4.74,1.55,3.19
224,检察官,律师,4.72,1.55,3.17
221,领导,经理,5.15,2,3.15
68,谨慎地,有礼貌地,3.77,0.64,3.13
253,手,脚,3.58,0.45,3.13
198,身体,脊柱,4.49,1.36,3.13
420,享受,娱乐,4.13,1,3.13
302,副驾驶,座舱,3.76,0.64,3.12
391,忽略,避免,3.11,0,3.11
290,衣服,布料,4.53,1.45,3.08
219,蜥蜴,鳄鱼,3.51,0.45,3.06
336,电线,软线,4.19,1.18,3.01
326,蛇,蜥蜴,3.91,0.91,3
225,眉头,眼睛,3.54,0.55,2.99
328,锡,铝,3.7,0.73,2.97
172,喷嘴,流体,2.97,0,2.97
121,走道,大厅,3.13,0.18,2.95
180,侵略,敌意,4.58,1.64,2.94
206,身体,胸部,4.92,2,2.92
152,猫,狮子,3.83,0.91,2.92
468,读,理解,3.54,0.64,2.9
175,早餐,培根,3.32,0.45,2.87
250,鼻子,嘴巴,2.9,0.09,2.81
440,生活,生存,5.26,2.45,2.81
77,粗糙地,大致,3.71,0.91,2.8
243,电动机,发动机,5.24,2.45,2.79
297,橡木,枫木,5.13,2.36,2.77
405,混合,溶解,3.32,0.55,2.77
307,面包,小麦粉,4.46,1.73,2.73
324,男人,武士,3.25,0.55,2.7
277,身体,肚子,4.41,1.73,2.68
451,知道,相信,3.57,0.91,2.66
211,重新安葬,坟墓,3.3,0.64,2.66
145,树枝,手臂,2.74,0.09,2.65
97,主机板,主板,5.88,3.27,2.61
416,拿,拥有,2.96,0.36,2.6
201,骨头,牙齿,3.24,0.64,2.6
227,队长,水手,2.68,0.09,2.59
18,残忍,不公平,3.01,0.45,2.56
244,猫,兔子,3.11,0.55,2.56
266,手指,手掌,4.36,1.82,2.54
464,混合,联合,4.15,1.64,2.51
312,活塞,发动机,3.68,1.18,2.5
17,煮熟的,水煮,5.04,2.55,2.49
278,暴风雨,飓风,5.1,2.64,2.46
105,奖学金,学费,3.18,0.73,2.45
385,搜索,狩猎,3.16,0.73,2.43
114,门,走廊,2.79,0.36,2.43
342,钱包,袋,3.34,0.91,2.43
413,选择,挑选,5.97,3.55,2.42
110,锡,金属,5.14,2.73,2.41
118,雨,薄雾,3.22,0.82,2.4
363,完成,毕业,4.75,2.36,2.39
44,粗糙,丑陋,2.84,0.45,2.39
262,雪,冰,4.93,2.55,2.38
313,人口,人,4.92,2.55,2.37
90,重要地,真实地,2.36,0,2.36
200,苍蝇,蚂蚁,3,0.64,2.36
146,法庭,正义,3.26,0.91,2.35
158,文章,杂志,4.43,2.09,2.34
337,图表,图解,5.52,3.18,2.34
220,河流,大海,4.41,2.09,2.32
