,word1,word2,pred_sl,pred_sd,act_sl,act_sd,pred_act_gap
0,闷,平庸,0.0,0.0,0.91,1.14,-0.91
1,害羞,昂贵,0.0,0.0,0.0,0.0,0.0
2,不同,正常,0.0,0.0,0.0,0.0,0.0
3,自豪,傲慢,2.53,0.52,2.91,1.56,-0.38000000000000034
4,愉快,快乐,6.0,0.0,4.91,1.03,1.0899999999999999
5,粗糙,无礼,0.0,0.0,0.45,0.85,-0.45
6,坚硬,密度大,2.4,0.51,2.55,2.04,-0.1499999999999999
7,无实体,心灵,2.4,0.51,2.64,1.95,-0.2400000000000002
8,开心,高兴,6.0,0.0,5.55,0.53,0.4500000000000002
9,开心,疯狂,1.73,0.7,0.91,1.49,0.82
10,合法,允许,5.6,0.63,2.55,1.26,3.05
11,和蔼,残酷,0.0,0.0,0.0,0.0,0.0
12,胆大,自豪,2.47,0.52,0.73,1.07,1.7400000000000002
13,坏,平庸,0.27,0.46,0.09,0.32,0.18000000000000002
14,煮熟的,水煮,5.93,0.26,2.55,1.65,3.38
15,残忍,不公平,1.87,0.83,0.45,0.67,1.4200000000000002
16,不需要,必须,0.0,0.0,0.18,0.63,-0.18
17,沈闷,枯燥,5.93,0.26,3.91,2.0,2.0199999999999996
18,自由,无辜,0.0,0.0,0.09,0.32,-0.09
19,善良,大方,0.73,0.88,2.0,1.52,-1.27
20,弱,辣,0.0,0.0,0.0,0.0,0.0
21,兴奋,受惊,0.07,0.26,0.55,1.58,-0.48000000000000004
22,无知,频繁,0.0,0.0,0.09,0.32,-0.09
23,怪诞,奇怪,5.67,0.62,4.64,1.08,1.0300000000000002
24,人造,假,6.0,0.0,3.0,1.2,3.0
25,电动,甜,0.0,0.0,0.0,0.0,0.0
26,婚外,不可說出口的,3.73,2.31,1.73,2.1,2.0
27,笨,傻,6.0,0.0,5.27,0.67,0.7300000000000004
28,个人,私人,6.0,0.0,4.27,1.07,1.7300000000000004
29,瘦,苗条,6.0,0.0,4.45,1.35,1.5499999999999998
30,奇怪,古怪,6.0,0.0,5.45,0.53,0.5499999999999998
31,灵活,松动,2.33,1.68,1.82,1.37,0.51
32,强大,强大,6.0,0.0,4.36,0.7,1.6399999999999997
33,大,柔韧,0.0,0.0,0.27,0.67,-0.27
34,脆弱,简单,0.0,0.0,0.18,0.63,-0.18
35,粘人,缺乏信心,0.0,0.0,0.09,0.32,-0.09
36,显著的,明显,6.0,0.0,4.18,2.21,1.8200000000000003
37,暴力,柔软,0.0,0.0,0.0,0.0,0.0
38,害怕,急,0.0,0.0,0.18,0.42,-0.18
39,非法,不道德,3.73,1.94,2.18,1.23,1.5499999999999998
40,严酷,残酷,6.0,0.0,4.27,1.49,1.7300000000000004
41,粗糙,丑陋,2.33,1.68,0.45,0.97,1.8800000000000001
42,难以置信,普通,0.0,0.0,0.0,0.0,0.0
43,尖,平滑,0.0,0.0,0.18,0.63,-0.18
44,容易,灵活,2.33,1.68,0.45,0.85,1.8800000000000001
