,word1,word2,avg_pred_sl,avg_act_sl,avg_pred_act_gap
441,安排,组织,5.14,0.82,4.319999999999999
463,收到,接受,5.03,0.91,4.12
86,看来,显然,6.0,1.91,4.09
342,钱包,袋,4.89,0.91,3.9799999999999995
436,成长,增加,4.79,0.91,3.88
446,装作,似乎,4.12,0.27,3.85
245,蜜蜂,蚂蚁,4.08,0.45,3.63
336,电线,软线,4.81,1.18,3.63
405,混合,溶解,4.08,0.55,3.5300000000000002
420,享受,娱乐,4.47,1.0,3.4699999999999998
17,煮熟的,水煮,5.83,2.55,3.2800000000000002
469,装作,想像,3.44,0.18,3.26
101,诗,韵律,3.58,0.36,3.22
444,珍爱,保持,3.61,0.45,3.1599999999999997
119,苹果,柠檬,3.32,0.18,3.1399999999999997
62,不同的,奇怪地,3.49,0.36,3.1300000000000003
253,手,脚,3.49,0.45,3.04
194,荣誉,敬重,3.67,0.64,3.03
250,鼻子,嘴巴,2.97,0.09,2.8800000000000003
401,分数,评分,5.78,2.91,2.87
172,喷嘴,流体,2.82,0.0,2.82
44,粗糙,丑陋,3.24,0.45,2.79
227,队长,水手,2.87,0.09,2.7800000000000002
97,主机板,主板,6.0,3.27,2.73
15,胆大,自豪,3.46,0.73,2.73
341,歌谣,歌曲,5.8,3.09,2.71
50,中性,未拿定主意,3.33,0.64,2.69
200,苍蝇,蚂蚁,3.32,0.64,2.6799999999999997
337,图表,图解,5.85,3.18,2.6699999999999995
464,混合,联合,4.29,1.64,2.6500000000000004
440,生活,生存,5.05,2.45,2.5999999999999996
416,拿,拥有,2.92,0.36,2.56
18,残忍,不公平,3.01,0.45,2.5599999999999996
374,记得,想,2.91,0.36,2.5500000000000003
354,星,明亮,2.78,0.27,2.51
349,裁判官,法官,5.98,3.55,2.4300000000000006
219,蜥蜴,鳄鱼,2.86,0.45,2.4099999999999997
424,留,保留,5.98,3.64,2.3400000000000003
380,聚集,收集,5.06,2.73,2.3299999999999996
199,规则,惯例,4.86,2.55,2.3100000000000005
213,恶意软件,蠕虫,3.21,0.91,2.3
279,指甲,手,2.84,0.55,2.29
224,检察官,律师,3.84,1.55,2.29
13,合法,允许,4.84,2.55,2.29
47,容易,灵活,2.74,0.45,2.29
77,粗糙地,大致,3.19,0.91,2.28
421,建议,劝告,5.17,2.91,2.26
413,选择,挑选,5.8,3.55,2.25
182,滑雪板,滑雪,3.68,1.45,2.2300000000000004
103,岩浆,火山,3.77,1.55,2.2199999999999998
164,牛,山羊,2.66,0.45,2.21
203,床,毯子,2.29,0.09,2.2
177,病人,复诊,2.5,0.36,2.14
367,攻击,加剧,2.44,0.36,2.08
225,眉头,眼睛,2.62,0.55,2.0700000000000003
356,掩盖,保护,3.23,1.18,2.05
175,早餐,培根,2.5,0.45,2.05
201,骨头,牙齿,2.68,0.64,2.04
437,让,允许,5.48,3.45,2.0300000000000002
20,沈闷,枯燥,5.93,3.91,2.0199999999999996
180,侵略,敌意,3.62,1.64,1.9800000000000002
370,戏弄,伤害,2.62,0.64,1.98
468,读,理解,2.62,0.64,1.98
27,人造,假,4.96,3.0,1.96
369,创建,做,2.78,0.82,1.96
221,领导,经理,3.96,2.0,1.96
202,力量,能力,4.86,2.91,1.9500000000000002
57,羞耻,心烦,2.21,0.27,1.94
133,游戏,乐趣,2.38,0.45,1.93
145,树枝,手臂,2.02,0.09,1.93
286,晚餐,汤,2.36,0.45,1.91
266,手指,手掌,3.71,1.82,1.89
195,谷,凹地,4.34,2.45,1.8899999999999997
236,手臂,脖子,2.06,0.18,1.8800000000000001
48,满载,沉重,2.61,0.73,1.88
326,蛇,蜥蜴,2.76,0.91,1.8499999999999996
450,漂移,流,3.79,2.0,1.79
