,word1,word2,avg_pred_sl,avg_act_sl,avg_pred_act_gap
0,长,狭窄,0.56,0.27,0.29000000000000004
1,内疚,羞愧,4.99,4.36,0.6299999999999999
2,暴力,被动,0.09,0.0,0.09
3,闷,平庸,1.75,0.91,0.84
4,害羞,昂贵,0.0,0.0,0.0
5,不同,正常,1.05,0.0,1.05
6,自豪,傲慢,3.08,2.91,0.16999999999999993
7,愉快,快乐,5.82,4.91,0.9100000000000001
8,粗糙,无礼,1.99,0.45,1.54
9,坚硬,密度大,2.76,2.55,0.20999999999999996
10,无实体,心灵,1.69,2.64,-0.9500000000000002
11,开心,高兴,5.98,5.55,0.4300000000000006
12,开心,疯狂,1.73,0.91,0.82
13,合法,允许,4.38,2.55,1.83
14,和蔼,残酷,0.02,0.0,0.02
15,胆大,自豪,1.77,0.73,1.04
16,坏,平庸,1.83,0.09,1.74
17,煮熟的,水煮,5.04,2.55,2.49
18,残忍,不公平,3.01,0.45,2.5599999999999996
19,不需要,必须,0.12,0.18,-0.06
20,沈闷,枯燥,5.15,3.91,1.2400000000000002
21,自由,无辜,1.4,0.09,1.3099999999999998
22,善良,大方,3.59,2.0,1.5899999999999999
23,弱,辣,0.0,0.0,0.0
24,兴奋,受惊,2.41,0.55,1.86
25,无知,频繁,0.0,0.09,-0.09
26,怪诞,奇怪,4.73,4.64,0.09000000000000075
27,人造,假,4.26,3.0,1.2599999999999998
28,电动,甜,0.0,0.0,0.0
29,婚外,不可說出口的,3.29,1.73,1.56
30,笨,傻,5.52,5.27,0.25
31,个人,私人,5.06,4.27,0.79
32,瘦,苗条,5.18,4.45,0.7299999999999995
33,奇怪,古怪,5.65,5.45,0.20000000000000018
34,灵活,松动,2.02,1.82,0.19999999999999996
35,强大,强大,6.0,4.36,1.6399999999999997
36,大,柔韧,0.42,0.27,0.14999999999999997
37,脆弱,简单,1.3,0.18,1.12
38,粘人,缺乏信心,2.16,0.09,2.0700000000000003
39,显著的,明显,5.45,4.18,1.2700000000000005
40,暴力,柔软,0.0,0.0,0.0
41,害怕,急,1.59,0.18,1.4100000000000001
42,非法,不道德,4.07,2.18,1.8900000000000001
43,严酷,残酷,5.22,4.27,0.9500000000000002
44,粗糙,丑陋,2.84,0.45,2.3899999999999997
