word1,word2,similarity_score_1,similarity_score_2,similarity_score_3,similarity_score_4,similarity_score_5,similarity_score_6,similarity_score_7,similarity_score_8,similarity_score_9,similarity_score_10,similarity_score_11,similarity_score_12,similarity_score_13,similarity_score_14,similarity_score_15
闷,平庸,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2
害羞,昂贵,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
不同,正常,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
自豪,傲慢,3,3,2,3,3,3,3,3,3,2,3,3,4,3,3
愉快,快乐,6,5,5,6,5,6,5,5,6,6,6,6,6,6,6
粗糙,无礼,1,2,1,1,2,2,2,1,2,3,2,2,2,2,2
坚硬,密度大,2,3,3,2,3,2,3,2,3,2,3,3,3,2,3
无实体,心灵,2,1,1,1,2,1,2,1,2,3,1,2,2,1,2
开心,高兴,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
开心,疯狂,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
合法,允许,4,5,4,5,4,4,4,4,5,4,4,5,5,4,5
和蔼,残酷,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
胆大,自豪,1,2,1,2,2,2,2,2,1,2,1,2,2,2,1
坏,平庸,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
煮熟的,水煮,5,4,5,5,5,5,5,5,5,5,5,5,6,5,5
残忍,不公平,2,3,3,2,3,2,3,3,4,3,4,2,2,3,3
不需要,必须,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
沈闷,枯燥,5,5,5,5,5,5,5,6,5,5,5,6,5,5,5
自由,无辜,2,2,2,1,2,1,1,2,2,2,1,2,2,1,2
善良,大方,4,3,3,4,3,3,3,3,4,4,4,4,4,3,4
弱,辣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
兴奋,受惊,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4
无知,频繁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
怪诞,奇怪,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
人造,假,5,4,4,5,4,5,4,5,4,4,5,4,3,4,4
电动,甜,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
婚外,不可說出口的,4,3,2,3,3,3,3,4,3,5,4,3,2,3,2
笨,傻,5,6,5,6,6,6,5,6,5,6,6,6,5,6,6
个人,私人,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5
瘦,苗条,6,5,6,6,5,6,5,6,6,5,5,5,5,5,5
奇怪,古怪,6,5,5,6,6,5,5,5,5,6,5,6,5,5,5
灵活,松动,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
强大,强大,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
大,柔韧,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1
脆弱,简单,2,2,2,1,1,2,1,1,1,2,2,1,1,1,1
粘人,缺乏信心,2,2,1,2,2,1,2,2,2,3,3,2,2,2,2
显著的,明显,6,6,5,6,5,6,6,5,5,6,6,5,5,5,5
暴力,柔软,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
害怕,急,3,1,1,2,1,1,1,1,1,2,2,1,2,1,1
非法,不道德,4,3,4,4,4,4,4,5,4,5,4,5,4,4,4
严酷,残酷,5,5,5,5,5,5,5,5,5,6,5,6,5,5,5
粗糙,丑陋,3,2,3,3,3,2,3,4,3,4,3,3,3,3,3
难以置信,普通,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
尖,平滑,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
容易,灵活,3,2,1,2,2,2,2,2,2,2,2,2,2,2,3
满载,沉重,4,4,3,4,3,3,3,4,2,3,3,3,3,3,4
轻松,强调,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0
中性,未拿定主意,4,3,4,2,3,3,4,3,3,4,4,3,3,2,4
闻名,国民,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2
乱,清洁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新,新鲜,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5
孩子气,傻,2,4,3,4,3,3,3,3,3,4,3,4,3,3,3
愉快,精彩,3,3,3,3,3,3,2,3,3,3,3,3,3,2,2
旧,杂,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
羞耻,心烦,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2
普通,冷,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
生病,疯,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
每月,每周,3,4,3,4,3,4,4,4,3,3,4,4,3,4,3
仁慈地,温和地,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5
不同的,奇怪地,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
和平地,混乱,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
好心地,仁慈地,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6
显然,不显眼地,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1
大声地,微妙地,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
异常,奇怪地,5,4,4,5,5,5,4,5,4,4,4,4,5,4,4
