,word1,word2,avg_pred_sl,avg_act_sl,avg_pred_act_gap
0,长,狭窄,0.5,0.27,0.22999999999999998
1,内疚,羞愧,5.93,4.36,1.5699999999999994
2,暴力,被动,0.27,0.0,0.27
3,闷,平庸,0.38,0.91,-0.53
4,害羞,昂贵,0.0,0.0,0.0
5,不同,正常,0.38,0.0,0.38
6,自豪,傲慢,3.47,2.91,0.56
7,愉快,快乐,6.0,4.91,1.0899999999999999
8,粗糙,无礼,0.38,0.45,-0.07
9,坚硬,密度大,2.54,2.55,-0.009999999999999787
10,无实体,心灵,3.51,2.64,0.8699999999999997
11,开心,高兴,6.0,5.55,0.4500000000000002
12,开心,疯狂,1.44,0.91,0.5299999999999999
13,合法,允许,4.84,2.55,2.29
14,和蔼,残酷,0.0,0.0,0.0
15,胆大,自豪,3.46,0.73,2.73
16,坏,平庸,0.44,0.09,0.35
17,煮熟的,水煮,5.83,2.55,3.2800000000000002
18,残忍,不公平,3.01,0.45,2.5599999999999996
19,不需要,必须,0.0,0.18,-0.18
20,沈闷,枯燥,5.93,3.91,2.0199999999999996
21,自由,无辜,0.1,0.09,0.010000000000000009
22,善良,大方,1.59,2.0,-0.4099999999999999
23,弱,辣,0.0,0.0,0.0
24,兴奋,受惊,0.39,0.55,-0.16000000000000003
25,无知,频繁,0.0,0.09,-0.09
26,怪诞,奇怪,4.84,4.64,0.20000000000000018
27,人造,假,4.96,3.0,1.96
28,电动,甜,0.0,0.0,0.0
29,婚外,不可說出口的,2.72,1.73,0.9900000000000002
30,笨,傻,5.12,5.27,-0.14999999999999947
31,个人,私人,5.21,4.27,0.9400000000000004
32,瘦,苗条,4.92,4.45,0.46999999999999975
33,奇怪,古怪,5.68,5.45,0.22999999999999954
34,灵活,松动,3.06,1.82,1.24
35,强大,强大,6.0,4.36,1.6399999999999997
36,大,柔韧,0.02,0.27,-0.25
37,脆弱,简单,0.38,0.18,0.2
38,粘人,缺乏信心,0.38,0.09,0.29000000000000004
39,显著的,明显,5.68,4.18,1.5
40,暴力,柔软,0.0,0.0,0.0
41,害怕,急,0.38,0.18,0.2
42,非法,不道德,3.74,2.18,1.56
43,严酷,残酷,5.75,4.27,1.4800000000000004
44,粗糙,丑陋,3.24,0.45,2.79
45,难以置信,普通,0.0,0.0,0.0
46,尖,平滑,0.0,0.18,-0.18
47,容易,灵活,2.74,0.45,2.29
48,满载,沉重,2.61,0.73,1.88
49,轻松,强调,0.0,0.0,0.0
50,中性,未拿定主意,3.33,0.64,2.69
51,闻名,国民,0.0,0.0,0.0
52,乱,清洁,0.0,0.09,-0.09
53,新,新鲜,4.76,4.0,0.7599999999999998
54,孩子气,傻,3.06,2.91,0.1499999999999999
55,愉快,精彩,2.36,2.55,-0.18999999999999995
56,旧,杂,0.0,0.0,0.0
57,羞耻,心烦,2.21,0.27,1.94
58,普通,冷,0.0,0.0,0.0
59,生病,疯,0.0,0.91,-0.91
60,每月,每周,0.38,1.64,-1.2599999999999998
61,仁慈地,温和地,4.44,3.36,1.0800000000000005
62,不同的,奇怪地,3.49,0.36,3.1300000000000003
63,和平地,混乱,0.0,0.0,0.0
64,好心地,仁慈地,5.52,4.64,0.8799999999999999
