,ID,word1,word2,PoS,Annotator 1,Annotator 2,Annotator 3,Annotator 4,Annotator 5,Annotator 6,Annotator 7,Annotator 8,Annotator 9,Annotator 10,Annotator 11,avg_anno
1073,1074,长,狭窄,adjectives,0,0,0,1,0,0,0,0,0,0,2,0.27
1062,1063,内疚,羞愧,adjectives,2,6,6,5,4,5,3,3,5,4,5,4.36
1138,1139,暴力,被动,adjectives,0,0,0,0,0,0,0,0,0,0,0,0
1064,1065,闷,平庸,adjectives,0,0,0,0,2,3,2,0,0,1,2,0.91
1171,1172,害羞,昂贵,adjectives,0,0,0,0,0,0,0,0,0,0,0,0
1255,1256,不同,正常,adjectives,0,0,0,0,0,0,0,0,0,0,0,0
1077,1078,自豪,傲慢,adjectives,5,2,2,3,2,4,0,3,5,4,2,2.91
1051,1052,愉快,快乐,adjectives,3,6,6,5,4,5,4,5,6,4,6,4.91
1094,1095,粗糙,无礼,adjectives,0,0,0,2,2,1,0,0,0,0,0,0.45
1251,1252,坚硬,密度大,adjectives,0,5,6,3,1,4,0,2,3,4,0,2.55
1058,1059,无实体,心灵,adjectives,0,0,4,3,2,6,3,4,4,1,2,2.64
1276,1277,开心,高兴,adjectives,6,6,5,5,5,5,6,6,6,5,6,5.55
1195,1196,开心,疯狂,adjectives,0,0,0,3,0,4,2,0,0,1,0,0.91
1141,1142,合法,允许,adjectives,3,3,1,3,3,4,0,4,3,2,2,2.55
1227,1228,和蔼,残酷,adjectives,0,0,0,0,0,0,0,0,0,0,0,0
1108,1109,胆大,自豪,adjectives,0,0,0,1,0,3,0,0,0,2,2,0.73
1156,1157,坏,平庸,adjectives,0,0,0,1,0,0,0,0,0,0,0,0.09
1102,1103,煮熟的,水煮,adjectives,0,5,5,3,2,3,3,3,1,1,2,2.55
1082,1083,残忍,不公平,adjectives,0,0,0,1,0,2,0,0,0,0,2,0.45
1267,1268,不需要,必须,adjectives,0,0,0,2,0,0,0,0,0,0,0,0.18
1223,1224,沈闷,枯燥,adjectives,0,6,6,4,4,5,4,5,5,1,3,3.91
