,Unnamed: 0,ID,word1,word2,PoS,Annotator 1,Annotator 2,Annotator 3,Annotator 4,Annotator 5,Annotator 6,Annotator 7,Annotator 8,Annotator 9,Annotator 10,Annotator 11,avg_anno
11,1276,1277,开心,高兴,adjectives,6,6,5,5,5,5,6,6,6,5,6,5.55
54,1285,1286,孩子气,傻,adjectives,3,1,5,3,4,5,2,3,2,2,2,2.91
59,1172,1173,生病,疯,adjectives,0,3,0,1,0,6,0,0,0,0,0,0.91
18,1082,1083,残忍,不公平,adjectives,0,0,0,1,0,2,0,0,0,0,2,0.45
26,1174,1175,怪诞,奇怪,adjectives,4,6,5,5,4,6,4,3,5,3,6,4.64
55,1111,1112,愉快,精彩,adjectives,4,3,4,3,2,3,0,3,2,1,3,2.55
30,1203,1204,笨,傻,adjectives,5,6,5,5,5,5,6,6,6,4,5,5.27
19,1267,1268,不需要,必须,adjectives,0,0,0,2,0,0,0,0,0,0,0,0.18
16,1156,1157,坏,平庸,adjectives,0,0,0,1,0,0,0,0,0,0,0,0.09
22,1158,1159,善良,大方,adjectives,2,0,4,4,3,1,0,3,3,1,1,2.0
21,1248,1249,自由,无辜,adjectives,0,0,0,1,0,0,0,0,0,0,0,0.09
41,1256,1257,害怕,急,adjectives,0,0,0,1,0,0,0,0,0,1,0,0.18
45,1134,1135,难以置信,普通,adjectives,0,0,0,0,0,0,0,0,0,0,0,0.0
35,1185,1186,强大,强大,adjectives,5,3,5,4,4,5,5,5,4,4,4,4.36
10,1058,1059,无实体,心灵,adjectives,0,0,4,3,2,6,3,4,4,1,2,2.64
89,1768,1769,有意义地,特别,adverbs,0,5,4,5,4,5,4,3,3,0,0,3.0
74,1783,1784,今天晚上,今天,adverbs,0,2,4,4,2,4,3,3,3,0,1,2.36
84,1852,1853,有时,每当,adverbs,0,0,0,2,0,4,0,0,0,0,0,0.55
61,1876,1877,仁慈地,温和地,adverbs,5,5,5,4,2,5,2,3,3,0,3,3.36
87,1798,1799,紧张地,焦急地,adverbs,5,6,5,5,3,5,2,4,4,1,2,3.82
71,1841,1842,理想地,实际地,adverbs,0,0,0,1,0,1,0,0,0,0,0,0.18
91,1814,1815,自豪的,谦逊地,adverbs,0,1,0,2,0,2,0,0,0,0,0,0.45
83,1786,1787,紧紧地,难以置信地,adverbs,0,0,0,0,0,0,0,0,0,0,0,0.0
322,992,993,音节,词元,nouns,0,1,4,2,0,2,0,0,0,0,2,1.0
114,781,782,门,走廊,nouns,0,0,0,1,0,1,0,0,0,0,2,0.36
221,322,323,领导,经理,nouns,0,3,3,2,2,1,3,3,2,2,1,2.0
350,918,919,分界线,国境,nouns,4,2,2,4,1,6,3,2,4,3,4,3.18
301,16,17,生日,日期,nouns,2,1,1,3,1,2,1,2,1,1,1,1.45
288,994,995,男人,嫌疑人,nouns,0,0,0,2,2,1,0,0,0,0,1,0.55
95,31,32,战斗,好斗,nouns,5,4,1,5,2,4,2,5,3,1,1,3.0
125,482,483,周末,种族,nouns,0,0,0,0,0,0,0,0,0,0,0,0.0
290,628,629,衣服,布料,nouns,2,0,2,0,2,0,0,1,5,2,2,1.45
257,284,285,仆人,奴隶,nouns,3,4,2,2,4,4,3,5,3,4,3,3.36
100,404,405,床,家俱,nouns,1,4,5,3,3,5,3,5,4,3,3,3.55
299,19,20,伞,暖炉,nouns,0,0,0,0,0,1,0,0,0,0,0,0.09
300,547,548,财富,声望,nouns,0,0,0,1,0,5,0,0,0,1,0,0.64
284,602,603,契约,协议,nouns,3,6,5,5,6,4,5,5,5,4,3,4.64
197,670,671,天神,魔鬼,nouns,0,0,0,1,0,0,0,0,0,0,0,0.09
344,661,662,冬天,夏天,nouns,0,0,0,1,0,0,0,0,0,0,0,0.09
320,286,287,下面,侧面,nouns,0,1,0,1,0,0,0,0,0,0,0,0.18
252,513,514,智力,洞察力,nouns,4,1,0,3,3,2,2,2,5,1,3,2.36
250,373,374,鼻子,嘴巴,nouns,0,0,0,1,0,0,0,0,0,0,0,0.09
112,858,859,多面体,演员,nouns,0,0,0,0,0,0,0,0,0,0,0,0.0
281,292,293,男孩,孩子,nouns,2,3,5,3,2,6,4,3,3,3,3,3.36
191,894,895,狗,马,nouns,0,1,0,1,0,4,0,0,0,1,2,0.82
222,130,131,容器,老鼠,nouns,0,0,0,0,0,0,0,0,0,0,0,0.0
128,391,392,尾巴,后部,nouns,3,3,2,3,3,5,0,5,5,2,1,2.91
215,40,41,爆玉米花,电影,nouns,0,0,0,1,0,3,0,0,0,1,0,0.45
115,9,10,皇帝,宪法,nouns,0,0,0,0,0,0,0,0,0,1,0,0.09
204,321,322,便条,作业,nouns,0,0,0,0,0,5,0,0,0,0,0,0.45
271,548,549,牛,家牛,nouns,4,6,5,3,3,3,3,3,3,3,3,3.55
188,191,192,感觉,直觉,nouns,5,4,5,3,2,6,3,3,4,5,5,4.09
124,576,577,老鹰,猎鹰,nouns,3,6,4,5,2,3,0,3,0,4,5,3.18
269,475,476,一分钱,尺寸,nouns,0,0,0,0,0,0,0,0,0,0,0,0.0
349,198,199,裁判官,法官,nouns,4,4,5,3,2,5,0,3,3,4,6,3.55
212,348,349,人,一分钱,nouns,0,0,0,0,0,0,0,0,0,0,0,0.0
351,397,398,书,正文,nouns,4,2,2,3,1,5,0,4,2,2,3,2.55
152,638,639,猫,狮子,nouns,0,0,0,2,0,5,0,0,0,1,2,0.91
179,986,987,冠军,优胜者,nouns,6,5,6,6,5,5,6,5,5,6,6,5.55
220,100,101,河流,大海,nouns,4,3,1,2,3,4,0,1,2,1,2,2.09
