ID,Word 1,Word 2,PoS,Annotator 1,Annotator 2,Annotator 3,Annotator 4,Annotator 5,Annotator 6,Annotator 7,Annotator 8,Annotator 9,Annotator 10,Annotator 11
1,手臂,肌肉,nouns,0,0,1,2,2,0,0,5,2,0,1
2,民主,帝制,nouns,0,0,1,0,0,0,0,0,0,0,0
3,屋顶,天花板,nouns,0,4,4,3,3,4,3,5,5,3,1
4,朋友,老师,nouns,0,1,2,2,2,0,2,0,0,0,0
5,手,脚,nouns,0,2,2,0,0,0,0,0,0,0,1
6,传记,小说,nouns,0,3,4,4,3,4,2,2,3,1,3
7,磁盘,电脑,nouns,0,2,1,0,0,0,1,0,0,1,1
8,击剑,体操,nouns,0,2,2,2,1,0,3,0,0,0,0
9,银行,座位,nouns,0,0,0,0,0,2,0,0,0,0,0
10,皇帝,宪法,nouns,0,0,0,0,0,0,0,0,0,1,0
11,枪,戏法,nouns,0,0,0,0,0,0,1,0,0,0,0
12,大小,量,nouns,0,2,2,3,1,5,1,4,2,3,2
13,球,手套,nouns,0,0,0,0,1,0,1,0,0,0,0
14,羊,牛,nouns,0,0,2,2,2,4,0,1,2,1,1
15,蜥蜴,鳄鱼,nouns,0,3,0,1,0,0,0,0,0,0,1
16,朋友,宾客,nouns,2,4,2,2,1,5,4,6,5,2,2
17,生日,日期,nouns,2,1,1,3,1,2,1,2,1,1,1
18,车,出租车,nouns,3,4,5,4,2,2,4,3,3,3,5
19,骨头,牙齿,nouns,0,0,3,1,1,0,0,0,0,1,1
20,伞,暖炉,nouns,0,0,0,0,0,1,0,0,0,0,0
21,懊恼,愤怒,nouns,0,3,2,4,2,1,3,3,4,3,1
22,资产,股票,nouns,2,0,2,3,3,4,3,3,3,1,4
23,行动,课程,nouns,0,0,1,0,0,2,0,0,0,1,0
24,庆祝,仪式,nouns,0,3,2,3,2,3,3,5,1,1,2
25,文章,功课,nouns,0,0,2,2,2,1,0,0,2,0,1
26,环球航行,行李,nouns,0,0,0,0,0,0,0,0,0,0,0
27,暴民,人群,nouns,0,0,1,1,2,2,2,0,0,0,2
28,肩,头,nouns,0,0,0,0,2,0,0,0,0,0,0
29,射手,探路者,nouns,0,0,2,1,0,0,0,0,0,0,0
30,神话,讽刺,nouns,0,0,0,0,0,4,0,0,0,0,0
31,获胜者,候选人,nouns,0,3,2,3,1,3,3,4,4,0,1
32,战斗,好斗,nouns,5,4,1,5,2,4,2,5,3,1,1
33,门,大门,nouns,4,6,6,6,6,6,6,6,5,5,5
34,保龄,保龄球选手,nouns,0,2,1,0,3,4,0,0,0,1,1
35,状况,情况,nouns,5,6,5,4,6,5,6,6,4,5,5
36,大型会议,聚会,nouns,4,4,2,3,3,2,2,2,2,4,2
37,注意,谨慎,nouns,4,4,4,4,2,4,4,2,4,3,2
38,地心引力,流星,nouns,0,0,0,0,0,0,0,0,0,0,0
39,晚餐,鸡,nouns,0,0,0,2,0,0,0,0,0,1,0
40,传感器,散热器,nouns,0,0,2,1,0,1,0,0,0,0,0
41,爆玉米花,电影,nouns,0,0,0,1,0,3,0,0,0,1,0
42,房子,公寓,nouns,5,5,2,5,5,6,3,5,3,4,4
43,一分钱,妻子,nouns,0,0,0,0,0,4,0,0,0,0,0
44,词,文学,nouns,0,3,2,2,3,4,0,3,2,1,2
45,扫帚,灰尘,nouns,0,0,0,0,0,3,0,0,0,1,0
46,滑雪板,滑雪,nouns,0,2,1,3,3,5,0,0,0,1,1
47,儿子,父亲,nouns,0,1,1,1,0,1,0,0,0,0,1
48,种子,芥末,nouns,0,0,1,2,2,0,0,0,0,0,1
49,猫,兔子,nouns,0,2,2,0,1,1,0,0,0,0,0
50,生物学家,显微镜,nouns,0,0,0,0,0,1,0,0,0,1,0
51,徽章,玻璃,nouns,0,0,0,1,0,0,0,0,0,0,0
52,流言蜚语,新闻,nouns,0,2,2,2,2,4,3,4,3,1,1
53,骰子,立方体,nouns,0,2,2,5,2,6,3,2,2,0,3
54,塔,钟,nouns,0,0,1,2,2,2,0,0,0,0,0
55,硬件,案件,nouns,0,0,0,0,0,2,0,0,0,0,0
56,天神,牧师,nouns,0,0,1,2,0,0,0,0,0,0,0
57,河,河谷,nouns,2,2,4,2,0,0,3,2,2,1,1
58,车,汽车,nouns,6,6,6,6,5,6,6,6,5,6,6
59,母亲,妻子,nouns,0,3,2,0,4,4,2,5,3,1,1
60,树木,枫树,nouns,5,5,5,4,4,6,5,3,3,2,5
61,米饭,男孩,nouns,0,0,0,0,0,0,0,0,0,0,0
62,家伙,帅哥,nouns,0,2,2,0,1,3,1,0,0,0,0
63,港口,包装纸,nouns,0,0,0,0,0,0,0,0,0,0,0
64,智力,逻辑,nouns,2,3,3,4,3,5,0,4,2,4,4
65,白天,早上,nouns,6,5,6,6,6,6,6,5,5,6,4
66,武器,头盔,nouns,0,1,2,0,0,0,0,0,0,0,0
67,修道院,洗澡,nouns,0,0,0,0,0,0,0,0,0,0,0
68,优胜者,存在,nouns,0,0,0,0,0,0,0,0,0,0,0
69,电视,电影,nouns,0,4,2,4,0,3,2,3,5,1,3
70,牛排,肉,nouns,5,4,5,3,4,6,3,3,5,3,4
71,活塞,发动机,nouns,0,3,2,0,0,3,0,1,1,2,1
72,病毒,血液,nouns,0,0,1,0,0,1,0,0,0,0,0
73,男人,哨兵,nouns,0,0,3,3,1,4,3,3,3,1,1
74,羊,羊肉,nouns,4,5,5,5,3,5,5,3,3,5,5
75,车,高速公路,nouns,0,1,0,0,0,0,0,0,0,0,0
76,耐力,强度,nouns,3,1,4,3,3,6,0,2,2,3,1
77,熵,信息,nouns,0,0,6,0,0,0,0,0,0,0,0
78,喧闹声,摇铃,nouns,0,2,0,2,3,0,2,1,0,1,0
79,钱,薪水,nouns,3,5,4,4,4,6,4,5,5,4,3
80,老师,帮手,nouns,0,0,1,2,2,3,1,0,0,0,0
81,作者,创造者,nouns,6,3,5,4,6,3,3,5,3,4,2
82,墙纸,背景,nouns,0,3,4,5,3,6,3,5,2,1,1
83,啤酒,香槟酒,nouns,5,2,0,3,4,2,2,3,2,1,3
84,能力,才能,nouns,5,6,6,4,5,6,6,4,6,2,6
85,手,手腕,nouns,0,4,1,3,2,2,3,2,2,1,2
86,章,选择,nouns,0,0,1,0,0,0,0,0,0,0,0
87,八月,月,nouns,3,5.5,1,3,2,1,3,3,2,1,3
88,课程,肚子,nouns,0,0,0,0,0,0,0,0,0,0,0
89,僧侣,十字架,nouns,0,0,0,2,0,0,0,0,0,0,0
90,星,明亮,nouns,0,0,0,2,0,0,0,0,0,1,0
91,视力,知觉,nouns,0,0,4,0,2,0,0,0,0,0,0
92,红酒,白兰地,nouns,1,3,3,3,4,5,2,3,2,1,3
93,房间,沐浴,nouns,0,0,0,1,0,0,0,0,0,0,0
94,过道,走廊,nouns,5,4,6,5,4,3,5,5,5,1,4
95,橙子,柑橘,nouns,5,5,6,3,4,6,0,2,0,3,2
96,教堂,合唱团,nouns,0,0,0,2,0,0,0,0,0,0,0
97,衣服,抽屉,nouns,0,0,0,0,0,0,0,0,0,1,0
98,白天,黎明,nouns,0,5,4,5,4,2,1,1,2,2,3
99,野兽,动物,nouns,0,4,5,4,5,5,3,3,4,4,2
100,广口瓶,瓶子,nouns,5,4,5,4,6,6,3,3,5,1,5
101,河流,大海,nouns,4,3,1,2,3,4,0,1,2,1,2
102,事实,洞察力,nouns,0,0,0,1,0,0,0,0,0,1,0
103,法庭,正义,nouns,0,0,0,0,0,6,0,0,0,3,1
104,过去,前情,nouns,4,5,5,4,4,4,4,5,4,3,3
105,全球化,签证,nouns,0,0,0,1,0,5,0,0,0,2,0
106,怪兽,恶魔,nouns,5,6,3,2,2,0,0,5,3,2,2
107,律师,银行家,nouns,0,2,0,0,0,0,0,0,0,0,0
108,勺子,杯子,nouns,0,1,0,0,0,0,0,0,0,0,0
109,秒,分钟,nouns,3,1,0,3,6,2,0,3,2,2,1
110,幸福,悲伤,nouns,0,0,0,0,0,0,0,0,0,0,0
111,星系,天文学家,nouns,0,0,0,0,0,1,0,0,0,1,0
112,工作者,相机,nouns,0,0,0,1,0,0,0,0,0,0,0
113,肾,器官,nouns,3,5,5,5,4,6,5,3,3,4,5
114,足球,英式足球,nouns,3,6,5,5,5,6,5,3,3,1,5
115,男人,女孩,nouns,0,0,0,2,0,0,0,0,0,0,1
116,男孩,哥哥,nouns,0,3,0,3,3,4,3,2,3,1,2
117,交换,替换,nouns,6,3,6,5,5,2,5,5,5,5,4
118,诗人,记者,nouns,0,0,0,0,0,0,0,0,0,0,0
119,剩余,差数,nouns,0,2,5,3,3,2,0,3,2,3,3
120,牛,山羊,nouns,0,2,0,0,0,1,0,0,0,1,1
121,议会,国会,nouns,0,3,3,3,4,3,0,5,3,2,4
122,有趣,足球,nouns,0,0,0,0,0,1,0,0,0,0,0
123,财富,贫困,nouns,0,0,0,0,0,0,0,0,0,0,0
124,出租车,公共汽车,nouns,2,2,3,4,4,0,0,2,1,3,2
